trading_day,update_sec,update_msec,instrument_id,volume,turn_over,open_interest,last_price,bid_p1,bid_v1,ask_p1,ask_v1
20250701,09:29:00,000,IF2507,44,51546000,65438,3905,3904.6,1,3905,1
20250701,09:29:00,000,IF2508,0,0,3682,3893.2,3890.2,1,3900,3
20250701,09:29:00,000,IF2509,59,68838840,135397,3889.2,3889.2,43,3889.6,1
20250701,09:29:00,000,IF2512,17,19689060,40018,3860.6,3860,1,3860.6,1
20250701,09:30:00,000,IF2507,76,89052300,65448,3906.6,3906.2,2,3907.8,6
20250701,09:30:00,000,IF2508,1,1168620,3682,3895.4,3895.4,1,3897.4,1
20250701,09:30:00,000,IF2509,133,155170380,135383,3889,3887,1,3888.8,5
20250701,09:30:00,000,IF2512,20,23163120,40020,3860.2,3858,11,3860.4,3
20250701,09:30:00,500,IF2507,127,148831440,65407,3907.8,3906,3,3906.2,2
20250701,09:30:00,500,IF2508,2,2337240,3683,3895.4,3886.2,2,3895.4,1
20250701,09:30:00,500,IF2509,165,192483660,135368,3885.6,3885,3,3885.6,7
20250701,09:30:00,500,IF2512,21,24320580,40020,3858.2,3858.2,1,3859.4,2
20250701,09:30:01,000,IF2507,140,164066100,65397,3906,3906.2,5,3907,2
20250701,09:30:01,000,IF2508,3,3504900,3682,3892.2,3891.2,1,3894.4,2
20250701,09:30:01,000,IF2509,247,288070560,135313,3885.6,3884.6,1,3887.2,6
20250701,09:30:01,000,IF2512,36,41680980,40021,3856.8,3856.6,2,3857,3
20250701,09:30:01,500,IF2507,166,194531700,65380,3905,3904.6,2,3906,1
20250701,09:30:01,500,IF2508,3,3504900,3682,3892.2,3891.6,1,3894.2,1
20250701,09:30:01,500,IF2509,287,334691820,135308,3885.8,3885.8,6,3886,1
20250701,09:30:01,500,IF2512,41,47466240,40021,3856.6,3855.4,2,3856.6,3
20250701,09:30:02,000,IF2507,185,216791580,65367,3904.8,3904.6,4,3905.6,2
20250701,09:30:02,000,IF2508,6,7007340,3679,3891.6,3888.2,2,3893.8,4
20250701,09:30:02,000,IF2509,318,370808940,135290,3883.2,3881.8,8,3885,6
20250701,09:30:02,000,IF2512,44,50936280,40018,3855.6,3855,16,3856.2,1
20250701,09:30:02,500,IF2507,200,234360840,65359,3904.4,3903.2,25,3904.4,1
20250701,09:30:02,500,IF2508,6,7007340,3679,3891.6,3889.8,1,3893.2,1
20250701,09:30:02,500,IF2509,359,418577520,135280,3884,3882.6,2,3884.4,1
20250701,09:30:02,500,IF2512,56,64815000,40016,3855,3855,6,3855.2,2
20250701,09:30:03,000,IF2507,218,255440340,65353,3903.2,3903.2,19,3904.2,11
20250701,09:30:03,000,IF2508,7,8174340,3678,3890,3889.8,1,3892.2,1
20250701,09:30:03,000,IF2509,374,436051380,135275,3883.4,3883.2,1,3883.8,1
20250701,09:30:03,000,IF2512,64,74067120,40014,3855.2,3854,10,3855,8
20250701,09:30:03,500,IF2507,242,283543800,65348,3903.2,3902.2,3,3903.2,1
20250701,09:30:03,500,IF2508,7,8174340,3678,3890,3888.2,2,3892,2
20250701,09:30:03,500,IF2509,380,443039880,135274,3882,3881.8,7,3882.6,1
20250701,09:30:03,500,IF2512,76,87941760,40012,3854,3852.4,1,3854.6,1
20250701,09:30:04,000,IF2507,250,292909920,65346,3902.2,3902.2,1,3903,6
20250701,09:30:04,000,IF2508,7,8174340,3678,3890,3888.4,1,3889.8,1
20250701,09:30:04,000,IF2509,403,469824180,135259,3882,3881,11,3881.8,1
20250701,09:30:04,000,IF2512,76,87941760,40012,3854,3852.4,1,3853.2,3
20250701,09:30:04,500,IF2507,258,302275620,65344,3902,3901.6,35,3902.8,2
20250701,09:30:04,500,IF2508,8,9340860,3677,3888.4,3886.4,1,3889.8,2
20250701,09:30:04,500,IF2509,423,493110960,135250,3881.4,3880.4,3,3881.6,8
20250701,09:30:04,500,IF2512,78,90253080,40011,3852,3852,1,3853,4
20250701,09:30:05,000,IF2507,270,316323360,65339,3901.6,3901.6,30,3902,2
20250701,09:30:05,000,IF2508,10,11674500,3675,3889.4,3887,2,3889.4,1
20250701,09:30:05,000,IF2509,438,510574380,135243,3880,3880,11,3880.6,1
20250701,09:30:05,000,IF2512,81,93719280,40009,3850.4,3850.4,1,3852,3
20250701,09:30:05,500,IF2507,298,349097100,65336,3901.6,3901.6,7,3901.8,3
20250701,09:30:05,500,IF2508,11,12840660,3674,3887.2,3886.8,2,3888.8,1
20250701,09:30:05,500,IF2509,464,540842160,135226,3880.6,3880,4,3880.6,2
20250701,09:30:05,500,IF2512,85,98340180,40006,3851.8,3851,1,3851.8,5
20250701,09:30:06,000,IF2507,310,363142680,65335,3901.6,3901.4,12,3901.8,11
20250701,09:30:06,000,IF2508,11,12840660,3674,3887.2,3886.8,1,3888.6,1
20250701,09:30:06,000,IF2509,475,553646340,135220,3880.4,3879.2,3,3880.4,1
20250701,09:30:06,000,IF2512,88,101806260,40005,3851.6,3850.2,2,3851.8,6
20250701,09:30:06,500,IF2507,333,390062760,65331,3901.2,3901.2,16,3901.4,2
20250701,09:30:06,500,IF2508,11,12840660,3674,3887.2,3886.6,1,3886.8,2
20250701,09:30:06,500,IF2509,483,562957800,135213,3879.4,3878.6,1,3880,1
20250701,09:30:06,500,IF2512,91,105271380,40004,3850,3850,11,3851,2
20250701,09:30:07,000,IF2507,356,416981160,65330,3901,3901.2,1,3901.4,1
20250701,09:30:07,000,IF2508,14,16338720,3673,3886.6,3886.2,1,3888.6,1
20250701,09:30:07,000,IF2509,491,572267760,135210,3879.6,3878.8,3,3879.8,6
20250701,09:30:07,000,IF2512,91,105271380,40004,3850,3850,11,3850.6,1
20250701,09:30:07,500,IF2507,364,426344040,65327,3901.4,3901,42,3901.4,2
20250701,09:30:07,500,IF2508,15,17504580,3673,3886.2,3885.2,2,3888,2
20250701,09:30:07,500,IF2509,508,592054200,135209,3880,3879.2,2,3880,1
20250701,09:30:07,500,IF2512,93,107581380,40004,3850,3850,9,3850.2,1
20250701,09:30:08,000,IF2507,375,439218960,65320,3901.2,3901.2,3,3901.6,3
20250701,09:30:08,000,IF2508,15,17504580,3673,3886.2,3886.2,1,3887.8,1
20250701,09:30:08,000,IF2509,525,611842500,135198,3880.4,3879.8,1,3880.4,2
20250701,09:30:08,000,IF2512,101,116822940,39999,3851.6,3850,7,3851.6,4
20250701,09:30:08,500,IF2507,390,456776400,65310,3901.8,3901.6,3,3902,2
20250701,09:30:08,500,IF2508,17,19836900,3671,3886.6,3886.4,2,3888,1
20250701,09:30:08,500,IF2509,536,624648300,135189,3881,3880.4,2,3880.6,1
20250701,09:30:08,500,IF2512,106,122600340,39995,3851.6,3850.2,2,3851.4,1
20250701,09:30:09,000,IF2507,395,462629940,65308,3903.8,3902.4,4,3903.8,1
20250701,09:30:09,000,IF2508,18,21003300,3670,3888,3886.6,3,3889.4,1
20250701,09:30:09,000,IF2509,543,632798040,135184,3881,3881,1,3881.6,1
20250701,09:30:09,000,IF2512,110,127222440,39994,3852,3850.4,3,3851,1
20250701,09:30:09,500,IF2507,415,486046980,65292,3902.6,3902.6,3,3903.4,3
20250701,09:30:09,500,IF2508,18,21003300,3670,3888,3888,2,3891.6,1
20250701,09:30:09,500,IF2509,559,651430800,135170,3881.8,3881.6,1,3882.6,2
20250701,09:30:09,500,IF2512,111,128377740,39993,3851,3851.4,3,3854.2,2
20250701,09:30:10,000,IF2507,420,491901540,65288,3902.8,3902.8,3,3903.2,3
20250701,09:30:10,000,IF2508,18,21003300,3670,3888,3888.2,3,3890.8,1
20250701,09:30:10,000,IF2509,563,656089380,135169,3882.6,3881.8,10,3882.4,1
20250701,09:30:10,000,IF2512,111,128377740,39993,3851,3851.8,1,3853.2,1
20250701,09:30:10,500,IF2507,431,504781860,65281,3903,3902.8,2,3903.8,6
20250701,09:30:10,500,IF2508,19,22169700,3669,3888,3888.4,1,3890.6,1
20250701,09:30:10,500,IF2509,570,664242780,135170,3882.6,3882.6,5,3883.8,6
20250701,09:30:10,500,IF2512,113,130689240,39991,3852,3852,1,3853.2,1
20250701,09:30:11,000,IF2507,440,515322000,65277,3903.8,3904.4,1,3905.4,2
20250701,09:30:11,000,IF2508,20,23336880,3668,3890.6,3889,2,3891.2,3
20250701,09:30:11,000,IF2509,585,681716880,135159,3883.6,3882.8,4,3883.6,3
20250701,09:30:11,000,IF2512,116,134157600,39990,3854,3852.4,2,3854.8,2
20250701,09:30:11,500,IF2507,452,529378440,65273,3904.4,3904,1,3905.2,2
20250701,09:30:11,500,IF2508,22,25671120,3666,3889.6,3889.2,1,3892.8,1
20250701,09:30:11,500,IF2509,596,694532520,135155,3883.6,3883.6,3,3885,2
20250701,09:30:11,500,IF2512,116,134157600,39990,3854,3853.2,1,3854.2,1
20250701,09:30:12,000,IF2507,462,541094580,65266,3905.4,3904.8,1,3906.8,1
20250701,09:30:12,000,IF2508,22,25671120,3666,3889.6,3889.4,3,3892.6,2
20250701,09:30:12,000,IF2509,614,715508640,135141,3885,3883.8,2,3885,2
20250701,09:30:12,000,IF2512,121,139940220,39985,3855.8,3853.6,2,3859.2,2
20250701,09:30:12,500,IF2507,473,553980960,65257,3904.8,3904.6,1,3906.2,3
20250701,09:30:12,500,IF2508,24,28004880,3664,3889.6,3889.6,2,3893.4,1
20250701,09:30:12,500,IF2509,632,736482480,135131,3883.6,3883.2,3,3885.4,3
20250701,09:30:12,500,IF2512,121,139940220,39985,3855.8,3854.2,2,3855.6,1
20250701,09:30:13,000,IF2507,476,557495100,65257,3904.6,3904.8,1,3905.2,3
20250701,09:30:13,000,IF2508,24,28004880,3664,3889.6,3889.8,1,3892.8,3
20250701,09:30:13,000,IF2509,641,746969280,135123,3884.4,3883.8,1,3884.6,1
20250701,09:30:13,000,IF2512,130,150345660,39978,3853.6,3853.4,1,3853.6,3
20250701,09:30:13,500,IF2507,480,562180500,65255,3904.4,3903.4,1,3904.2,7
20250701,09:30:13,500,IF2508,25,29171760,3664,3889.6,3889.8,1,3892.6,1
20250701,09:30:13,500,IF2509,666,776095320,135121,3883.6,3882.6,2,3883.6,6
20250701,09:30:13,500,IF2512,137,158437980,39972,3853.2,3852.8,1,3854,2
20250701,09:30:14,000,IF2507,482,564522600,65254,3903.4,3903.2,1,3903.4,1
20250701,09:30:14,000,IF2508,25,29171760,3664,3889.6,3889.4,1,3891.8,2
20250701,09:30:14,000,IF2509,672,783084180,135116,3883.4,3883,1,3883.4,12
